date,samsung,kospi200,dividends yields(annualized),delta_samsung,delta_kospi,vol_samsung,vol_kospi,corr,spot,pnl
2021-04-01,"82,900",419.42,1.84,,,,,,,
2021-04-02,"84,800",423.74,1.84,,,,,,,
2021-04-05,"85,400",424.85,1.84,,,,,,,
2021-04-06,"86,000",425.88,1.84,,,,,,,
2021-04-07,"85,600",426.7,1.84,,,,,,,
2021-04-08,"84,700",426.86,1.84,,,,,,,
2021-04-09,"83,600",424.3,1.84,,,,,,,
2021-04-12,"83,200",424.22,1.84,,,,,,,
2021-04-13,"84,000",429.08,1.84,,,,,,,
2021-04-14,"84,000",430.71,1.84,,,,,,,
2021-04-15,"84,100",432.66,1.84,,,,,,,
2021-04-16,"83,900",432.43,1.84,,,,,,,
2021-04-19,"83,300",431.96,1.84,,,,,,,
2021-04-20,"83,900",434.6,1.84,,,,,,,
2021-04-21,"82,600",426.75,1.84,,,,,,,
2021-04-22,"82,400",427.37,1.84,,,,,,,
2021-04-23,"82,800",428.34,1.84,,,,,,,
2021-04-26,"83,500",432.36,1.84,,,,,,,
2021-04-27,"82,900",432.14,1.84,,,,,,,
2021-04-28,"82,100",427.48,1.84,,,,,,,
2021-04-29,"81,700",426.28,1.84,,,,,,,
2021-04-30,"81,500",422.36,1.84,,,,,,,
2021-05-03,"81,700",420.36,1.84,,,,,,,
2021-05-04,"82,600",423.57,1.84,,,,,,,
2021-05-06,"82,300",426.64,1.84,,,,,,,
2021-05-07,"81,900",428.56,1.84,,,,,,,
2021-05-10,"83,200",435.63,1.84,,,,,,,
2021-05-11,"81,200",428.77,1.84,,,,,,,
2021-05-12,"80,000",421.86,1.84,,,,,,,
2021-05-13,"78,500",416.07,1.84,,,,,,,
2021-05-14,"80,100",420.17,1.84,,,,,,,
2021-05-17,"79,600",418.27,1.84,,,,,,,
2021-05-18,"79,600",423.09,1.84,,,,,,,
2021-05-20,"79,500",421.68,1.84,,,,,,,
2021-05-21,"80,100",422.08,1.84,,,,,,,
2021-05-24,"79,700",420.57,1.84,,,,,,,
2021-05-25,"79,900",424.35,1.84,,,,,,,
2021-05-26,"79,800",423.54,1.84,,,,,,,
2021-05-27,"79,600",423.0,1.84,,,,,,,
2021-05-28,"80,100",425.95,1.84,,,,,,,
2021-05-31,"80,500",427.91,1.84,,,,,,,
2021-06-01,"80,600",430.32,1.84,,,,,,,
2021-06-02,"80,800",430.15,1.84,,,,,,,
2021-06-03,"82,800",433.87,1.84,,,,,,,
2021-06-04,"82,200",432.22,1.84,,,,,,,
2021-06-07,"81,900",433.26,1.84,,,,,,,
2021-06-08,"81,900",432.88,1.84,,,,,,,
2021-06-09,"81,100",428.16,1.84,,,,,,,
2021-06-10,"81,000",429.35,1.84,,,,,,,
2021-06-11,"81,000",432.78,1.84,,,,,,,
2021-06-14,"80,500",433.22,1.84,,,,,,,
2021-06-15,"80,900",434.13,1.84,,,,,,,
2021-06-16,"81,800",436.96,1.84,,,,,,,
2021-06-17,"80,900",434.73,1.84,,,,,,,
2021-06-18,"80,500",435.02,1.84,,,,,,,
2021-06-21,"79,900",431.46,1.84,,,,,,,
2021-06-22,"80,000",434.42,1.84,,,,,,,
2021-06-23,"80,100",436.73,1.84,,,,,,,
2021-06-24,"81,200",438.38,1.84,,,,,,,
2021-06-25,"81,600",440.4,1.84,,,,,,,
2021-06-28,"81,900",439.98,1.84,,,,,,,
2021-06-29,"81,000",437.54,1.84,,,,,,,
2021-06-30,"80,700",438.84,1.84,,,,,,,
2021-07-01,"80,100",436.34,1.84,,,,,,,
2021-07-02,"80,000",436.0,1.84,,,,,,,
2021-07-05,"80,400",437.66,1.84,,,,,,,
2021-07-06,"81,200",439.5,1.84,,,,,,,
2021-07-07,"80,800",436.97,1.84,,,,,,,
2021-07-08,"79,900",432.63,1.84,,,,,,,
2021-07-09,"79,400",427.84,1.84,,,,,,,
2021-07-12,"79,700",431.28,1.84,,,,,,,
2021-07-13,"79,800",434.71,1.84,,,,,,,
2021-07-14,"79,500",433.57,1.84,,,,,,,
2021-07-15,"80,600",436.76,1.84,,,,,,,
2021-07-16,"79,800",434.82,1.84,,,,,,,
2021-07-19,"79,000",429.89,1.84,,,,,,,
2021-07-20,"79,000",428.55,1.84,,,,,,,
2021-07-21,"78,500",426.0,1.84,,,,,,,
2021-07-22,"79,700",431.38,1.84,,,,,,,
2021-07-23,"79,300",431.55,1.84,,,,,,,
2021-07-26,"78,800",427.47,1.84,,,,,,,
2021-07-27,"78,500",428.22,1.84,,,,,,,
2021-07-28,"79,200",429.15,1.84,,,,,,,
2021-07-29,"79,000",429.49,1.84,,,,,,,
2021-07-30,"78,500",423.91,1.84,,,,,,,
2021-08-02,"79,300",426.79,1.84,,,,,,,
2021-08-03,"81,400",429.98,1.84,,,,,,,
2021-08-04,"82,900",436.05,1.84,,,,,,,
2021-08-05,"82,100",434.74,1.84,,,,,,,
2021-08-06,"81,500",433.29,1.84,,,,,,,
2021-08-09,"81,500",431.65,1.84,,,,,,,
2021-08-10,"80,200",428.56,1.84,,,,,,,
2021-08-11,"78,500",424.74,1.84,,,,,,,
2021-08-12,"77,000",422.38,1.84,,,,,,,
2021-08-13,"74,400",416.06,1.84,,,,,,,
2021-08-17,"74,200",411.31,1.84,,,,,,,
2021-08-18,"73,900",413.36,1.84,,,,,,,
2021-08-19,"73,100",404.96,1.84,,,,,,,
2021-08-20,"72,700",400.78,1.84,,,,,,,
2021-08-23,"73,300",404.58,1.84,,,,,,,
2021-08-24,"75,600",412.48,1.84,,,,,,,
2021-08-25,"75,700",413.95,1.84,,,,,,,
2021-08-26,"74,600",410.38,1.84,,,,,,,
2021-08-27,"74,300",410.24,1.84,,,,,,,
2021-08-30,"74,600",411.5,1.84,,,,,,,
2021-08-31,"76,700",419.79,1.84,,,,,,,
2021-09-01,"76,800",419.92,1.84,,,,,,,
2021-09-02,"76,000",415.89,1.84,,,,,,,
2021-09-03,"76,600",419.22,1.84,,,,,,,
2021-09-06,"77,300",420.37,1.84,,,,,,,
2021-09-07,"76,100",417.8,1.84,,,,,,,
2021-09-08,"76,300",414.54,1.84,,,,,,,
2021-09-09,"75,300",407.28,1.84,,,,,,,
2021-09-10,"75,300",408.7,1.84,,,,,,,
2021-09-13,"76,300",409.7,1.84,,,,,,,
2021-09-14,"76,600",412.36,1.84,,,,,,,
2021-09-15,"77,000",412.85,1.84,,,,,,,
2021-09-16,"76,100",409.22,1.84,,,,,,,
2021-09-17,"77,200",410.99,1.84,,,,,,,
2021-09-23,"77,400",410.46,1.84,,,,,,,
2021-09-24,"77,300",409.84,1.84,,,,,,,
2021-09-27,"77,700",410.97,1.84,,,,,,,
2021-09-28,"76,300",406.2,1.84,,,,,,,
2021-09-29,"74,100",400.09,1.84,,,,,,,
2021-09-30,"74,100",401.3,1.84,,,,,,,
2021-10-01,"73,200",394.79,1.84,,,,,,,
2021-10-05,"72,200",388.01,1.84,,,0.2076,0.1474,0.8626,,
2021-10-06,"71,300",381.93,1.84,,,0.2081,0.1579,0.8636,,
2021-10-07,"71,600",388.14,1.84,,,0.2076,0.165,0.8665,,
2021-10-08,"71,500",387.42,1.84,,,0.2019,0.1718,0.8336,,
2021-10-12,"69,000",380.69,1.84,,,0.1959,0.1667,0.8336,,
2021-10-13,"68,800",384.1,1.84,,,0.235,0.1754,0.8497,,
2021-10-14,"69,400",389.59,1.84,,,0.2281,0.1736,0.8216,,
2021-10-15,"70,100",393.19,1.84,,,0.2237,0.1771,0.8188,,
2021-10-18,"70,200",392.02,1.84,,,0.2204,0.1754,0.825,,
2021-10-19,"70,600",395.41,1.84,,,0.2137,0.1704,0.8211,,
2021-10-20,"70,300",393.74,1.84,,,0.2084,0.1686,0.8212,,
2021-10-21,"70,200",393.18,1.84,,,0.2027,0.1643,0.8225,,
2021-10-22,"70,400",393.0,1.84,,,0.1966,0.1594,0.8228,,
2021-10-25,"70,200",395.0,1.84,,,0.191,0.1547,0.8208,,
2021-10-26,"71,100",399.0,1.84,,,0.1854,0.1511,0.8043,,
2021-10-27,"70,100",395.0,1.84,,,0.1865,0.1517,0.8177,,
2021-10-28,"70,700",394.0,1.84,,,0.189,0.1522,0.8309,,
2021-10-29,"69,800",388.0,1.84,,,0.1862,0.1479,0.8039,,
2021-11-01,"69,900",390.0,1.84,,,0.1873,0.1553,0.8178,,
2021-11-02,"71,500",395.0,1.84,,,0.1817,0.1519,0.8143,,
2021-11-03,"70,400",389.0,1.84,,,0.1969,0.1554,0.8328,,
2021-11-04,"70,600",392.0,1.84,,,0.2002,0.162,0.8492,,
2021-11-05,"70,200",390.0,1.84,,,0.1944,0.1599,0.8437,,
2021-11-08,"70,600",390.0,1.84,,,0.1898,0.1563,0.8457,,
2021-11-09,"70,500",390.0,1.84,,,0.1853,0.1515,0.8397,,
2021-11-10,"70,200",386.0,1.84,,,0.1798,0.147,0.8396,,
2021-11-11,"69,900",386.0,1.84,,,0.1753,0.148,0.8303,,
2021-11-12,"70,600",390.0,1.84,,,0.1706,0.1435,0.8263,,
2021-11-15,"71,400",394.0,1.84,,,0.1699,0.1448,0.8362,,
2021-11-16,"71,300",394.0,1.84,,,0.1705,0.1458,0.8474,,
2021-11-17,"70,700",389.0,1.84,,,0.1653,0.1413,0.847,,
2021-11-18,"70,200",387.0,1.84,,,0.1636,0.1458,0.8482,,
2021-11-19,"71,200",391.0,1.84,,,0.161,0.1427,0.8517,,
2021-11-22,"74,900",399.0,1.84,,,0.1655,0.144,0.8639,,
2021-11-23,"75,300",396.0,1.84,,,0.2541,0.1603,0.8561,,
2021-11-24,"74,800",395.0,1.84,,,0.2472,0.1582,0.8227,,
2021-11-25,"73,700",392.0,1.84,,,0.241,0.1537,0.8232,,
2021-11-26,"72,300",385.0,1.84,,,0.2407,0.1519,0.8306,,
2021-11-29,"72,300",382.0,1.84,,,0.245,0.1631,0.8452,,
2021-11-30,"71,300",373.0,1.84,,,0.2375,0.161,0.83,,
2021-12-01,"74,400",383.0,1.84,,,0.2366,0.1816,0.8116,,
2021-12-02,"75,800",390.0,1.84,,,0.2828,0.2039,0.8635,,
2021-12-03,"75,600",392.0,1.84,,,0.2838,0.2099,0.8721,,
2021-12-06,"76,300",393.0,1.84,,,0.2752,0.2044,0.8638,,
2021-12-07,"77,400",396.0,1.84,,,0.2692,0.1985,0.8616,,
2021-12-08,"77,400",397.0,1.84,,,0.2669,0.1947,0.8646,,
2021-12-09,"78,200",401.0,1.84,,,0.2588,0.189,0.8635,,
2021-12-10,"76,900",398.0,1.84,,,0.254,0.1873,0.8668,,
2021-12-13,"76,800",397.0,1.84,,,0.2548,0.184,0.8678,,
2021-12-14,"77,000",395.0,1.84,,,0.2471,0.1786,0.8675,,
2021-12-15,"77,600",396.0,1.84,,,0.2397,0.1743,0.8565,,
2021-12-16,"77,800",398.0,1.84,,,0.2344,0.1693,0.8555,,
2021-12-17,"78,000",399.0,1.84,,,0.2275,0.1653,0.8538,,
2021-12-20,"77,100",391.0,1.84,,,0.2208,0.1605,0.8541,,
2021-12-21,"78,100",394.0,1.84,,,0.2188,0.1745,0.8389,,
2021-12-22,"79,400",396.0,1.84,,,0.2179,0.1717,0.8438,,
2021-12-23,"79,900",398.0,1.84,,,0.2208,0.1676,0.8359,,
2021-12-24,"80,500",401.0,1.84,,,0.2155,0.1637,0.8381,,
2021-12-27,"80,200",399.0,1.84,,,0.2109,0.1614,0.8414,,
2021-12-28,"80,300",401.0,1.84,,,0.205,0.1577,0.8416,,
2021-12-29,"78,800",397.0,1.84,,,0.1989,0.1541,0.8377,,
2021-12-30,"78,300",394.0,1.84,,,0.2062,0.1544,0.8473,,
2022-01-03,"78,600",396.0,2.61,,,0.2015,0.1526,0.8489,,
2022-01-04,"78,700",395.0,2.61,,,0.1959,0.1492,0.849,,
2022-01-05,"77,400",390.0,2.61,,,0.19,0.145,0.845,,
2022-01-06,"76,900",386.0,2.61,,,0.1953,0.1491,0.8621,,
2022-01-07,"78,300",391.0,2.61,,,0.191,0.15,0.8587,,
2022-01-10,"78,000",388.0,2.61,,,0.198,0.1538,0.8747,,
2022-01-11,"78,900",389.0,2.61,,,0.1926,0.1521,0.8701,,
2022-01-12,"78,900",395.0,2.61,,,0.192,0.1478,0.8601,,
2022-01-13,"77,900",393.0,2.61,,,0.1861,0.1552,0.7943,,
2022-01-14,"77,300",387.0,2.61,,,0.1871,0.1517,0.7939,,
2022-01-17,"77,500",384.0,2.61,,,0.184,0.1588,0.7872,,
2022-01-18,"77,000",381.0,2.61,,,0.1786,0.1569,0.7603,,
2022-01-19,"76,300",378.0,2.61,,,0.175,0.1552,0.766,,
2022-01-20,"76,500",380.0,2.61,,,0.1733,0.1535,0.7755,,
2022-01-21,"75,600",376.0,2.61,,,0.1683,0.1503,0.7752,,
2022-01-24,"75,100",371.0,2.61,,,0.1696,0.1514,0.7919,,
2022-01-25,"74,000",362.0,2.61,,,0.1664,0.1557,0.7889,,
2022-01-26,"73,300",361.0,2.61,,,0.1712,0.1787,0.8074,,
2022-01-27,"71,300",349.0,2.61,,,0.1701,0.1735,0.8,,
2022-01-28,"73,300",358.0,2.61,,,0.1969,0.2135,0.8643,,
2022-02-03,"73,300",362.0,2.61,,,0.2191,0.2295,0.8912,,
2022-02-04,"74,000",366.0,2.61,,,0.2124,0.2267,0.8748,,
2022-02-07,"73,000",363.0,2.61,,,0.2093,0.2238,0.879,,
2022-02-08,"73,500",363.0,2.61,,,0.2098,0.2194,0.8779,,
2022-02-09,"74,700",369.0,2.61,,,0.2051,0.2127,0.8709,,
2022-02-10,"75,400",372.0,2.61,,,0.2085,0.2158,0.8823,,
2022-02-11,"74,900",369.0,2.61,,,0.2054,0.2116,0.8851,,
2022-02-14,"73,700",363.0,2.61,,,0.2008,0.2076,0.8871,,
2022-02-15,"73,700",360.0,2.61,,,0.2046,0.2111,0.8975,,
2022-02-16,"74,800",367.0,2.61,,,0.1984,0.2072,0.8865,,
2022-02-17,"75,000",370.0,2.61,,,0.2008,0.2144,0.8959,,
2022-02-18,"74,300",369.0,2.61,,,0.1952,0.2103,0.8923,,
2022-02-21,"74,200",368.0,2.61,,,0.1924,0.2041,0.885,,
2022-02-22,"73,400",364.0,2.61,,,0.1866,0.1982,0.8849,,
2022-02-23,"73,000",364.0,2.61,,,0.1858,0.1969,0.8905,,
2022-02-24,"71,500",355.0,2.61,,,0.1814,0.1908,0.8844,,
2022-02-25,"71,900",358.0,2.61,,,0.1935,0.209,0.9056,,
2022-02-28,"72,100",362.0,2.61,,,0.1891,0.2054,0.9063,,
2022-03-02,"71,700",361.0,2.61,,,0.1834,0.2037,0.8968,,
2022-03-03,"72,900",367.0,2.61,,,0.1792,0.1978,0.8954,,
2022-03-04,"71,500",362.0,2.61,,,0.1852,0.2021,0.9065,,
2022-03-07,"70,100",353.0,2.61,,,0.1948,0.2031,0.9082,,
2022-03-08,"69,500",349.0,2.61,,,0.2041,0.22,0.921,,
2022-03-10,"71,200",358.0,2.61,,,0.2005,0.2178,0.9231,,
2022-03-11,"70,000",355.0,2.61,,,0.2159,0.2332,0.9372,,
2022-03-14,"70,200",355.0,2.61,,,0.2195,0.2285,0.9277,,
2022-03-15,"69,500",351.0,2.61,,,0.2131,0.2215,0.9263,,
2022-03-16,"70,400",356.0,2.61,,,0.2103,0.2192,0.9289,,
2022-03-17,"71,200",361.0,2.61,,,0.2099,0.2195,0.9331,,
2022-03-18,"70,700",362.0,2.61,,,0.2082,0.2197,0.9361,,
2022-03-21,"69,900",359.0,2.61,,,0.2037,0.2132,0.9195,,
2022-03-22,"70,300",362.0,2.61,,,0.2024,0.2092,0.9202,,
2022-03-23,"70,500",365.0,2.61,,,0.1975,0.2054,0.9208,,
2022-03-24,"69,800",363.0,2.61,,,0.1918,0.2017,0.9167,,
2022-03-25,"69,800",362.0,2.61,,,0.19,0.1968,0.9143,,
2022-03-28,"69,700",362.0,2.61,,,0.1842,0.1911,0.9127,,
2022-03-29,"70,200",364.0,2.61,,,0.1786,0.1852,0.9124,,
2022-03-30,"69,900",365.0,2.61,,,0.1754,0.1809,0.9133,,
2022-03-31,"69,600",366.0,2.61,,,0.1709,0.1757,0.9013,,
2022-04-01,"69,100",363.0,2.61,,,0.1666,0.1707,0.8888,,
2022-04-04,"69,300",365.0,2.61,,,0.1641,0.1686,0.892,,
2022-04-05,"69,200",365.0,2.61,,,0.1592,0.1648,0.8916,,
2022-04-06,"68,500",361.0,2.61,,,0.1545,0.1599,0.8911,,
2022-04-07,"68,000",356.0,2.61,,,0.155,0.1608,0.8985,,
2022-04-08,"67,800",356.0,2.61,,,0.1529,0.1651,0.895,,
2022-04-11,"67,900",356.0,2.61,,,0.1486,0.16,0.892,,
2022-04-12,"67,000",352.0,2.61,,,0.1442,0.1551,0.8915,,
2022-04-13,"68,700",359.0,2.61,,,0.1496,0.1567,0.8994,,
2022-04-14,"67,500",357.0,2.61,,,0.1743,0.1701,0.9177,,
2022-04-15,"66,600",354.0,2.61,,,0.1824,0.1664,0.8925,,
2022-04-18,"66,700",354.0,2.61,,,0.1844,0.1646,0.8953,,
2022-04-19,"67,300",357.0,2.61,,,0.1788,0.1595,0.8947,,
2022-04-20,"67,400",358.0,2.61,,,0.1769,0.1581,0.899,,
2022-04-21,"67,700",359.0,2.61,,,0.1716,0.1537,0.8987,,
2022-04-22,"67,000",355.0,2.61,,,0.1672,0.1494,0.899,,
2022-04-25,"66,300",349.0,2.61,,,0.1671,0.1512,0.905,,
2022-04-26,"66,100",351.0,2.61,,,0.1671,0.1609,0.9002,,
2022-04-27,"65,000",346.0,2.61,,,0.1625,0.1576,0.8789,,
2022-04-28,"64,800",350.0,2.61,,,0.1705,0.1627,0.8939,,
2022-04-29,"67,400",355.0,2.61,,,0.1657,0.1639,0.8378,,
2022-05-02,"67,300",354.0,2.61,,,0.2219,0.1683,0.7995,,
2022-05-03,"67,500",353.0,2.61,,,0.2151,0.1635,0.7992,,
2022-05-04,"67,900",354.0,2.61,,,0.209,0.1589,0.7924,,
2022-05-06,"66,500",349.0,2.61,,,0.2039,0.1545,0.7933,,
2022-05-09,"66,100",345.0,2.61,,,0.2136,0.1596,0.8198,,
2022-05-10,"65,700",344.0,2.61,,,0.2084,0.1611,0.8138,,
2022-05-11,"65,700",343.0,2.61,,,0.2034,0.1566,0.8146,,
2022-05-12,"64,900",338.0,2.61,,,0.1972,0.1522,0.8123,,
2022-05-13,"66,500",346.0,2.61,,,0.1971,0.1583,0.8223,,
2022-05-16,"66,300",344.0,2.61,,,0.2132,0.1784,0.8603,,
2022-05-17,"67,600",348.0,2.61,,,0.2071,0.1744,0.8591,,
2022-05-18,"68,100",348.0,2.61,,,0.2145,0.175,0.8675,,
2022-05-19,"67,500",343.0,2.61,,,0.2099,0.1696,0.8594,,
2022-05-20,"68,000",349.0,2.61,,,0.2064,0.1739,0.8557,,
2022-05-23,"67,900",350.0,2.61,,,0.2022,0.1815,0.8391,,
2022-05-24,"66,500",344.0,2.61,,,0.1962,0.1764,0.8353,,
2022-05-25,"66,400",346.0,2.61,,,0.2073,0.1838,0.8581,,
2022-05-26,"65,900",344.0,2.61,,,0.2004,0.1795,0.8475,,
2022-05-27,"66,500",348.0,2.61,,,0.1965,0.1755,0.8505,,
2022-05-30,"67,700",352.0,2.61,,,0.1938,0.176,0.855,,
2022-05-31,"67,400",355.0,2.61,,,0.2004,0.1764,0.8636,,
2022-06-02,"66,700",351.0,2.61,,,0.195,0.1741,0.8276,,
2022-06-03,"66,800",352.0,2.61,,,0.1934,0.1746,0.836,,
2022-06-07,"65,500",346.0,2.61,,,0.1881,0.1697,0.8363,,
2022-06-08,"65,300",346.0,2.61,,,0.1973,0.1775,0.8599,,
2022-06-09,"65,200",347.0,2.61,,,0.1916,0.172,0.858,,
2022-06-10,"63,800",342.0,2.61,,,0.1858,0.1671,0.8535,,
2022-06-13,"62,100",330.0,2.61,,,0.199,0.1716,0.8695,,
2022-06-14,"61,900",328.0,2.61,,,0.2196,0.2167,0.8927,,
2022-06-15,"60,700",322.0,2.61,,,0.2133,0.2115,0.8921,,
2022-06-16,"60,900",322.0,2.61,,,0.2204,0.2172,0.9043,,
2022-06-17,"59,800",320.0,2.61,,,0.214,0.2106,0.9027,,
2022-06-20,"58,700",314.0,2.61,,,0.2193,0.2056,0.8863,,
2022-06-21,"58,500",316.0,2.61,,,0.2245,0.2125,0.8987,,
2022-06-22,"57,600",308.0,2.61,,,0.2181,0.2075,0.8834,,
2022-06-23,"57,400",305.0,2.61,,,0.2199,0.2245,0.883,,
2022-06-24,"58,400",312.0,2.61,,,0.2136,0.2211,0.8789,,
2022-06-27,"58,800",316.0,2.61,,,0.2177,0.2317,0.8906,,
2022-06-28,"59,400",319.0,2.61,,,0.2128,0.23,0.8896,,
2022-06-29,"58,000",313.0,2.61,,,0.21,0.226,0.8928,,
2022-06-30,"57,000",307.0,2.61,,,0.2237,0.2313,0.9023,,
2022-07-01,"56,200",304.0,2.61,,,0.2272,0.2365,0.9114,,
2022-07-04,"57,100",304.0,2.61,,,0.227,0.2325,0.912,,
2022-07-05,"57,200",309.0,2.61,,,0.2287,0.2254,0.8781,,
2022-07-06,"56,400",302.0,2.61,,,0.2218,0.2275,0.8514,,
2022-07-07,"58,200",308.0,2.61,,,0.2219,0.2379,0.8575,,
2022-07-08,"58,700",310.0,2.61,,,0.2474,0.243,0.8632,,
2022-07-11,"58,800",308.0,2.61,,,0.2422,0.237,0.8648,,
2022-07-12,"58,100",305.0,2.61,,,0.2349,0.2311,0.8562,,
